permno,ticker,comnam,date,ret,prc,vol,shrout,cfacpr,sector,market_cap,year,month,year_month,vol_6m,mean_ret_6m,sharpe_6m,vol_12m,mean_ret_12m,sharpe_12m,var_95_6m,var_99_6m,cum_ret,running_max,drawdown,drawdown_pct,max_dd_12m,is_peak,peak_id,months_since_peak,drawdown_duration,risk_class,high_risk_alert
14593,AAPL,APPLE INC,2018-01-31,-0.010636,167.42999,6597524.0,5074013.0,4.0,Technology,849541.94584987,2018,1,2018-01,,,,,,,,,0.989364,0.989364,0.0,0.0,,True,1,0,0,Unknown,False
14593,AAPL,APPLE COMPUTER INC,2018-02-28,0.06761,178.12,9326122.0,5074013.0,4.0,Technology,903783.19556,2018,2,2018-02,,,,,,,,,1.0562549000399999,1.0562549000399999,0.0,0.0,,True,2,0,0,Unknown,False
14593,AAPL,APPLE INC,2018-03-29,-0.058051,167.78,7156363.0,4943282.0,4.0,Technology,829383.8539600001,2018,3,2018-03,0.21982404628247568,-0.0043079999999999785,-0.1105793493072364,,,,5.33095,5.7102699999999995,0.9949382468377779,1.0562549000399999,-0.058050999999999985,-5.805099999999999,,False,2,1,1,Low,False
14593,AAPL,APPLE COMPUTER INC,2018-04-30,-0.01502,165.25999,6662564.0,4915138.0,4.0,Technology,812275.65672862,2018,4,2018-04,0.1812730233073857,-0.04829099999999998,-0.37673007684214843,,,,5.159635,5.676006999999999,0.9799942743702744,1.0562549000399999,-0.07219907398000001,-7.219907398000001,,False,2,2,2,Low,False
14593,AAPL,APPLE COMPUTER INC,2018-05-31,0.135181,186.87,6211796.0,4915138.0,4.0,Technology,918491.83806,2018,5,2018-05,0.26674402643808165,0.2858016,0.9964669257989909,,,,4.9444799999999995,5.632976,1.1124708803739225,1.1124708803739225,0.0,0.0,,True,3,0,0,Medium,False
14593,AAPL,APPLE INC,2018-06-29,-0.009418,185.11,5276132.0,4842917.0,4.0,Technology,896472.3658700001,2018,6,2018-06,0.24316867473916126,0.21933200000000003,0.8197272951124016,0.24316867473916126,0.21933200000000003,0.8197272951124016,4.729324999999999,5.589944999999999,1.1019936296225608,1.1124708803739225,-0.009418000000000128,-0.9418000000000127,-7.219907398000001,False,3,1,1,Medium,False
14593,AAPL,APPLE COMPUTER INC,2018-07-31,0.027983,190.28999,3925671.0,4829926.0,4.0,Technology,919086.57024074,2018,7,2018-07,0.23823118521721712,0.29657,1.1609311339647908,0.2223450281470541,0.23596971428571428,0.9713269331251999,4.729324999999999,5.589944999999999,1.132830717360289,1.132830717360289,0.0,0.0,-7.219907398000001,True,4,0,0,Medium,False
14593,AAPL,APPLE INC,2018-08-31,0.200063,227.63,7006518.0,4829926.0,4.0,Technology,1099436.0553799998,2018,8,2018-08,0.3451286205576118,0.561476,1.5689107415234262,0.30197758186991297,0.506568,1.611271926171015,4.729324999999999,5.589944999999999,1.3594682291675406,1.3594682291675406,0.0,0.0,-7.219907398000001,True,5,0,0,High,True
14593,AAPL,APPLE INC,2018-09-28,-0.008303,225.74001,6790750.0,4754986.0,4.0,Technology,1073390.5871898602,2018,9,2018-09,0.3146880153523486,0.660972,2.0368490972950433,0.28843417881728234,0.43921200000000005,1.4534061175376964,1.36195,1.4739900000000001,1.3481805644607625,1.3594682291675406,-0.008303000000000015,-0.8303000000000015,-7.219907398000001,False,5,1,1,Medium,False
14593,AAPL,APPLE INC,2018-10-31,-0.030478,218.86,7901731.0,4745398.0,4.0,Technology,1038577.80628,2018,10,2018-10,0.3235858905650863,0.630056,1.885298518222298,0.28169128103155766,0.35871719999999996,1.2024411929244403,2.5213,2.9425,1.3070907172171273,1.3594682291675406,-0.03852794116600006,-3.8527941166000055,-7.219907398000001,False,5,2,2,Medium,False
